Annotation/Divergence	AB425_SB139.M (1348270.0 total)	AB426_SB139.M (919032.0 total)	AB427_SB139.M (1076940.0 total)	AB428_SB139.M (1045155.0 total)	AB429_SB139.M (1152020.0 total)	AB430_SB139.M (1353472.0 total)	AB431_SB139.M (984314.0 total)	AB432_SB139.M (1095253.0 total)
Tbc1d23|4930451A13Rik|AU015720|AU043671|AU043778|D030022P07Rik|W51689|-|16|16 C1.1|protein-coding	16	11	15	16	17	15	12	10
Psd2|6330404E20Rik|AW125584|EFA6C|-|18|18 B2|protein-coding	1	1	4	5	4	2	0	3
9130011E15Rik|AI431055|AW050122|-|19|19 C3|protein-coding	7	2	3	4	6	2	3	3
Rad18|2810024C04Rik|Rad18sc|-|6|6 E3|protein-coding	3	1	2	1	1	1	2	3
Mbnl3|A530038J18Rik|AI661274|CHCR|E430034C16Rik|MBLX|MBLX39|MBXL|-|X|X A5|protein-coding	22	12	25	13	11	14	12	14
E030025P04Rik|Gm664|-|11|11 E1|ncRNA	0	0	0	0	0	0	0	0
Myh6|A830009F23Rik|AA517445|Myhc-a|Myhca|alpha-MHC|-|14 C2-C3|14 28.01 cM|protein-coding	0	0	0	0	0	0	0	0
Eras|HRAS2|HRasp|Ha-Ras2|ecat5|-|X|X A1.1|protein-coding	0	0	0	0	0	0	0	0
Kansl2|2310037I24Rik|B930009D17|-|15|15 F1|protein-coding	5	4	5	3	4	4	6	5
Cpne3|5430428M23Rik|5730450C07Rik|C85108|CPN3|-|4|4 A3|protein-coding	49	35	38	50	29	24	21	22
Alox5|5-LO|5-LOX|5LO|5LX|AI850497|F730011J02|-|6 E3|6 53.79 cM|protein-coding	0	2	2	2	3	2	4	2
Spg7|AI452278|AU015315|Cmar|PGN|-|8|8 E1|protein-coding	47	25	45	38	50	59	29	62
Slc9a7|A530087D17Rik|NHE7|-|X|X A1.3|protein-coding	0	5	1	0	6	6	3	3
Cchcr1|Hcr|-|17|17 B1|protein-coding	12	5	12	4	6	6	6	12
9030612E09Rik|-|-|10|10 B2|ncRNA	2	0	0	0	0	3	0	1
Ccdc151|AI644415|C330001K17Rik|b2b1885Clo|-|9|9 A3|protein-coding	12	9	4	7	14	11	7	10
Cxcl1|Fsp|Gro1|KC|Mgsa|N51|Scyb1|gro|-|5 E1|5 44.78 cM|protein-coding	29	33	9	18	5	4	13	3
Epc2|5830499L14|D2Ertd694e|-|2 C1.1|2 28.62 cM|protein-coding	4	3	5	8	1	4	0	4
Pard6a|0710008C04Rik|2610010A15Rik|PAR-6A|PAR6alpha|Par-6|Par6|Par6c|TAX40|Tip-40|-|8|8 D3|protein-coding	29	19	30	34	35	30	20	33
A830052D11Rik|-|-|18|18 B1|ncRNA	0	0	2	1	3	2	4	2
Lox|AI893619|TSC-160|rrg|-|18 D1|18 28.22 cM|protein-coding	98	55	53	64	55	73	49	55
Kcnd3|AW045978|Kncd3|Kv4.3|-|3|3 F2.2|protein-coding	4	1	3	3	3	5	3	5
Qsox2|BC030934|Qscn6l1|Soxn|-|2|2 A3|protein-coding	32	19	25	24	28	34	22	33
Zfp397|2810411K16Rik|6720480F11Rik|AI461664|-|18|18 A2|protein-coding	12	8	5	8	7	4	3	8
Drd4|AW125663|D4R|Drd-4|-|7 F5|7 86.6 cM|protein-coding	0	0	0	0	0	0	0	0
Acsbg1|BG1|Bgm|E230019G03Rik|GR-LACS|Lpd|R75185|-|9|9 A5.3|protein-coding	0	0	0	0	1	2	1	1
Spo11|AI449549|Spo11a|Spo11b|-|2 H3|2 95.64 cM|protein-coding	0	0	0	0	0	0	1	0
Cpt1c|6530437J22Rik|9630004I06Rik|-|7|7 B3|protein-coding	53	27	40	32	54	49	40	32
Pex13|2610008O20Rik|-|11|11 A3.2|protein-coding	58	55	51	64	56	68	43	66
Birc5|AAC-11|Api4|TIAP|survivin40|-|11|11 E2|protein-coding	17	12	19	20	17	18	23	21
Sec23ip|D7Ertd373e|p125|-|7 F3|7 70.51 cM|protein-coding	27	26	16	19	26	32	21	30
Toe1|4930584N22Rik|4933424D16Rik|AI413517|-|4|4 D1|protein-coding	8	15	12	9	9	17	8	10
Hace1|1700042J16Rik|A730034A22Rik|BC025474|-|10|10 B2|protein-coding	2	2	0	0	2	2	1	2
Smg8|1200011M11Rik|-|11|11 C|protein-coding	14	5	12	9	8	11	9	12
Gpr33|-|-|12|12 C1|protein-coding	0	0	0	0	0	0	0	0
Alyref2|C130042O11Rik|REF2|Refbp2|-|1|1 H3|protein-coding	0	1	3	3	2	3	0	2
Btbd35f17|ENSMUSG00000078216|Gm10922|OTTMUSG00000016437|-|X|X A1.1|protein-coding	0	0	0	0	0	0	0	0
Tut1|2700038E08Rik|PAPD2|Rbm21|TUTase6|U6-TUTase|star-PAP|-|19|19 A|protein-coding	29	11	17	16	31	33	23	28
Rasa2|5430433H21Rik|AA517451|AU023900|GAP1m|-|9|9 E3.3|protein-coding	11	8	6	3	5	8	4	3
Ribc1|2610028I09Rik|W08639|-|X|X F3|protein-coding	3	3	6	2	0	1	6	1
7530416G11Rik|-|-|15|15 E2|protein-coding	0	0	0	0	0	0	0	0
Cdr1|100039759|Cdr|Cdr34|EG631990|Gm2409|Gm7077|-|X A6|X 34.33 cM|protein-coding	0	0	0	0	0	0	0	0
Sprn|C630041J07|-|7|7 F4|protein-coding	1	2	0	0	0	0	0	0
Plcd3|2610205J15Rik|mKIAA1964|-|11 E1|11 66.71 cM|protein-coding	20	5	6	6	13	16	11	8
Cracr2a|Efcab4b|Gm1073|Gm462|-|6|6 F3|protein-coding	0	0	0	0	0	0	0	0
Slfnl1|4933406A14Rik|-|4|4 D2.2|protein-coding	1	0	0	0	0	0	0	0
Htr7|5-HT7|-|19 C2|19 30.3 cM|protein-coding	0	0	0	0	0	0	0	0
Tial1|5330433G13Rik|AL033329|TIAR|mTIAR|-|7|7 F3|protein-coding	29	14	15	15	22	23	9	13
Fem1b|mKIAA0396|-|9 B|9 33.87 cM|protein-coding	48	21	39	28	32	41	29	33
Kif1a|ATSV|C630002N23Rik|Gm1626|Kns1|-|1|1 D|protein-coding	120	47	81	73	75	92	63	87
Nlrp12|Nalp12|PYPAF7|-|7|7 A1|protein-coding	0	0	0	0	0	0	0	0
Sphk1|1110006G24Rik|Sk1|Spk1|-|11|11 E2|protein-coding	9	6	8	6	6	8	3	3
Mbd6|D10Wsu93e|-|10 D3|10 74.5 cM|protein-coding	17	16	18	13	18	18	17	9
Gas2|Gas-2|-|7 B4|7 32.87 cM|protein-coding	5	1	3	1	1	2	2	2
S1pr2|1100001A16Rik|Edg5|Gpcr13|H218|LPb2|S1P2|-|9 A3|9 7.68 cM|protein-coding	13	1	2	9	8	8	5	7
Msl2|E130103E02Rik|Msl2l1|Rnf184|-|9|9 E4|protein-coding	5	6	8	6	9	7	2	11
Tead2|ETF|Etdf|TEAD-2|TEF-4|TEF4|-|7 B3|7 29.19 cM|protein-coding	12	5	3	5	0	6	3	8
Tmem203|C730025P13Rik|Hbebp1|-|2|2 A3|protein-coding	39	25	32	29	32	29	45	37
Foxe3|FREAC8|dyl|rct|-|4 52.73 cM|4 D1|protein-coding	0	0	0	0	0	0	0	0
Tesk2|-|-|4|4 D1|protein-coding	4	3	7	7	6	3	4	4
Actg1|AL023024|Actg|Actl|E51|-|11|11 E2|protein-coding	37	31	29	41	32	51	43	53
Zhx1|-|-|15|15 D1|protein-coding	36	16	15	12	16	33	6	17
Grin1|GluN1|GluRdelta1|GluRzeta1|M100174|NMD-R1|NMDAR1|NR1|Nmdar|Rgsc174|-|2 A3|2 17.14 cM|protein-coding	2	0	1	1	0	0	2	1
Vmn2r89|V2r10|V2r11|-|14|14 C1|protein-coding	1	0	0	0	0	0	0	0
Ranbp1|Htf9a|-|16 A3|16 11.3 cM|protein-coding	81	69	66	70	76	85	53	70
Scaper|C430017I08|D530014O03Rik|Zfp291|-|9|9 B|protein-coding	6	8	4	4	10	2	8	8
Nek11|4932416N14Rik|-|9|9 F1|protein-coding	5	2	4	0	1	2	3	2
Gm2506|-|-|4 A5|4|protein-coding	0	0	0	1	0	1	0	1
Ccdc152|ENSMUSG00000071814|-|15|15 A1|protein-coding	0	0	0	0	0	0	0	0
Olfr1254|MOR231-13|-|2|2 E1|protein-coding	0	0	0	0	0	0	0	0
Cdh15|AI323380|Cdh14|Mcad|-|8 E1|8 71.99 cM|protein-coding	0	0	0	0	0	0	0	0
Gm23450|Mir935|mmu-mir-935|-|7|7 A1|ncRNA	0	0	0	0	0	0	0	0
Megf11|2410080H04Rik|D130061K05|-|9|9 C|protein-coding	14	6	11	11	13	8	11	12
Areg|AR|Mcub|Sdgf|-|5 E1|5 44.78 cM|protein-coding	8	2	3	1	4	4	2	1
Arhgap9|AU043488|-|10|10 D3|protein-coding	0	0	0	0	0	2	0	1
Aqp7|AQP7L|AQPap|-|4|4 A5|protein-coding	0	0	0	0	0	0	0	0
Defb48|Defb42|EG432867|-|14 D1|14|protein-coding	0	0	0	0	0	0	0	0
Spata16|4921511F01Rik|4930503K02Rik|Nyd-sp12|-|3|3 A3|protein-coding	0	0	0	0	0	0	0	0
Gfi1b|Gfi-1B|-|2|2 A3|protein-coding	0	0	0	0	0	0	0	0
Fyttd1|2010005M05Rik|3830411L18Rik|3830421F13Rik|4933423A17Rik|AI098218|AW539567|C85190|-|16|16 B3|protein-coding	63	35	45	50	41	45	43	44
Pcdh19|B530002L05Rik|Gm717|mKIAA1313|-|X|X E3|protein-coding	0	0	1	0	0	0	0	0
Ift88|AW552028|Tg737|Tg737Rpw|TgN737Rpw|Ttc10|flexo|fxo|orpk|polaris|-|14 C3|14 30.1 cM|protein-coding	17	25	12	20	16	27	15	21
Mettl21c|A530098C11Rik|-|1|1 C1.1|protein-coding	0	0	1	0	0	0	0	0
Slc8b1|AF261233|NCKX6|NCLX|Slc24a6|-|5|5 F|protein-coding	12	9	7	5	7	13	5	8
Nuf2|2410003C07Rik|AU044112|C85691|Cdca1|NUF2R|-|1|1 H2.3|protein-coding	3	0	1	7	1	2	3	2
Wdfy1|1700013B03Rik|1700120F24Rik|FENS-1|Jr1|WDF1|ZFYVE17|mKIAA1435|-|1|1 C4|protein-coding	126	72	68	78	83	109	69	96
Spi1|Dis-1|Dis1|PU.1|Sfpi-1|Sfpi1|Spi-1|Tcfpu1|Tfpu.1|-|2 E1|2 50.44 cM|protein-coding	12	10	5	4	12	13	7	11
Rffl|1700051E09Rik|4930516L10Rik|BG080975|Carp2|-|11|11 C|protein-coding	13	8	7	10	8	9	8	10
Gm867|Gm736|-|10|10 C1|protein-coding	1	0	1	3	0	1	0	0
Thoc5|1700060C24Rik|A430085L24Rik|Fmip|PK1.3|Sgk2|-|11|11 A1|protein-coding	24	14	22	17	23	20	13	15
Triml2|EG622117|Tu4|-|8|8 A4|protein-coding	0	0	0	0	0	0	0	0
Nmb|3110023K12Rik|-|7|7 D3|protein-coding	2	4	3	2	3	4	2	5
Foxp1|3110052D19Rik|4932443N09Rik|AI461938|AW494214|-|6|6 D3|protein-coding	6	2	3	2	0	1	0	0
F830045P16Rik|Sirpb3|-|2|2 F1|protein-coding	0	0	0	0	0	0	0	0
Pik3c2a|Cpk-m|PI3KC2|-|7 F1|7 61.62 cM|protein-coding	15	7	9	10	8	12	8	5
Mir7001|Gm27886|mmu-mir-7001|-|2|2 E1|ncRNA	0	0	0	0	0	0	0	0
Fam181a|EG544888|-|12|12 E|protein-coding	0	0	0	0	0	0	0	0
Porcn|2410004O13Rik|AW045557|DXHXS7465e|Mg61|Mporc|Ppn|mMg61|porc|-|X A1.1|X 3.7 cM|protein-coding	10	7	15	12	8	15	13	10
Dmbt1|CRP|CRP-[a]|CRP-[b]|Crpd|DBMT1|gp300|p80|-|7|7 F3|protein-coding	0	0	0	0	0	0	0	0
Ugt1a1|Gnt1|UDPGT 1-1|UGT1A01|Udpgt-1a|UgtBr1|-|1 D|1 44.55 cM|protein-coding	25	15	21	18	10	18	15	15
Pclaf|2810417H13Rik|AA409629|Ns5apt9|Ns5atp9|PAF15|Paf|mKIAA0101|p15(PAF)|-|9|9 C|protein-coding	12	9	13	18	14	15	8	22
Mtss1l|ABBA|-|8|8 E1|protein-coding	7	4	7	4	2	6	3	4
Mir99b|Mirn99b|mmu-mir-99b|-|17|17 A3.2|ncRNA	0	0	0	0	0	0	0	0
Eif4g3|1500002J22Rik|4930523M17Rik|G1-419-52|eIF4GII|repro8|-|4|4 D3|protein-coding	47	24	43	40	37	51	32	34
Mir1894|Mirn1894|mmu-mir-1894|-|17 B1|17 18.77 cM|ncRNA	0	0	0	0	2	0	0	0
Cthrc1|1110014B07Rik|-|15|15 B3.1|protein-coding	483	349	477	470	456	525	523	576
Cypt15|1700085A12Rik|-|X|X A3.3|protein-coding	0	0	0	0	0	0	0	0
Adrb3|Adrb-3|-|8 A2|8 15.94 cM|protein-coding	0	2	1	2	1	2	1	0
D030025E07Rik|-|-|3|3 G2|ncRNA	0	0	0	0	0	0	0	0
Pde1b|Pde1b1|-|15|15 F3|protein-coding	3	3	3	3	2	1	0	2
Zfp513|AW990386|D430028M17Rik|Znf513|-|5|5 B1|protein-coding	15	6	6	6	8	3	4	7
Dph6|5730421E18Rik|Atpbd4|-|2|2 E4|protein-coding	15	15	17	14	16	21	21	20
4930549C15Rik|-|-|12|12 A2|ncRNA	0	0	0	0	0	0	0	0
Nin|3110068G20Rik|AI385615|AU024711|mKIAA1565|-|12|12 C2|protein-coding	1	0	3	1	0	0	1	3
Ptpn23|AI462446|PTP-TD14|-|9|9 F2|protein-coding	41	29	24	34	33	43	19	30
Olfr632|MOR2-1|-|7|7 E3|protein-coding	0	0	0	0	0	0	0	0
Snrpd2|1810009A06Rik|SMD2|-|7|7 A3|protein-coding	201	153	156	168	167	188	162	152
Gm20125|-|-|10 A2|10 6.64 cM|ncRNA	0	0	0	0	0	0	0	0
Gm4303|-|-|10 D1|10|protein-coding	0	0	0	0	0	0	0	0
Ptcra|gp33|pT-alpha|pT-alpha-TCR|pT[a]|pTa|pTalpha|-|17|17 C|protein-coding	0	0	0	0	0	0	0	0
P2ry4|P2Y4|P2Y4R|-|X|X C3|protein-coding	0	0	0	0	0	0	0	0
Slc8a1|AI852629|AV344025|D930008O12Rik|Ncx1|-|17 E3|17 51.29 cM|protein-coding	2	0	1	1	2	0	0	0
Mybpc2|-|-|7|7 B3|protein-coding	1	0	4	2	3	0	1	3
Pin4|2410002I22Rik|EPVH|Par14|-|X|X D|protein-coding	2	0	0	0	0	2	0	0
Gm29683|-|-|7|7 C|ncRNA	0	0	0	0	0	0	0	0
Gstt3|AI118089|-|10|10 C1|protein-coding	84	52	63	60	59	76	55	81
Zfp811|BC052046|-|17|17 B1|protein-coding	1	0	1	0	0	1	0	0
Aldh1l2|D330038I09Rik|mtFDH|-|10|10 C1|protein-coding	0	0	0	1	0	0	0	0
Chpf2|2010209O12Rik|AW060945|mKIAA1402|mir-671|-|5|5 A3|protein-coding	115	80	110	96	84	119	71	104
Snx6|2010006G21Rik|2610032J07Rik|2810425K19Rik|AU018928|C85963|-|12|12 C1|protein-coding	140	108	112	110	136	152	112	113
Pck2|1810010O14Rik|9130022B02Rik|PEPCK-M|-|14 C3|14 28.19 cM|protein-coding	16	16	10	15	16	24	16	18
C9|-|-|15|15 A1|protein-coding	0	0	0	0	0	0	0	0
Bpifb5|Lplunc5|-|2|2 H1|protein-coding	0	0	0	0	0	0	0	0
Qars|1110018N24Rik|1200016L19Rik|C80286|GLNRS|-|9|9 F2|protein-coding	32	27	28	27	32	42	25	34
Pnoc|N/OFQ|Npnc1|OFQ/N|-|14|14 D1|protein-coding	0	0	0	0	0	0	0	0
BC006965|-|-|11|11 E2|ncRNA	0	0	0	0	0	0	0	0
Zfp771|G630024C07Rik|Znf771|-|7|7 F3|protein-coding	81	55	89	58	73	80	83	64
Fcgr2b|AI528646|CD32|F630109E10Rik|Fc[g]RII|FcgRII|Fcgr2|Fcgr2a|Fcr-2|Fcr-3|Ly-17|Ly-m20|LyM-1|Lym-1|fcRII|-|1 H3|1 78.02 cM|protein-coding	8	1	1	3	3	2	6	3
Mir6941|Gm27923|mmu-mir-6941|-|12|12 F1|ncRNA	0	0	0	0	0	0	0	0
Zcchc3|2810406K24Rik|-|2|2 G3|protein-coding	3	5	4	5	11	10	4	4
A730017C20Rik|-|-|18|18 D3|protein-coding	4	4	2	4	3	6	1	5
Kat7|Hbo1|Hboa|Myst2|-|11|11 D|protein-coding	52	36	53	39	37	43	31	42
4930556G01Rik|-|-|4|4 A5|ncRNA	0	0	0	0	0	0	0	0
Mir181b-2|Mirn181b-2|mir-181b-2|-|2|2 B|ncRNA	0	0	0	0	0	0	0	0
Rsph6a|RSP4|Rshl1|-|7|7 A3|protein-coding	0	0	0	0	0	0	0	0
Prdx6|1-Cys Prx|1-cysPrx|9430088D19Rik|AA690119|Aop2|Brp-12|CP-3|GPx|Ltw-4|Ltw4|Lvtw-4|NSGPx|ORF06|Prdx5|aiPLA2|-|1 H2.1|1 69.75 cM|protein-coding	696	503	605	581	644	765	538	611
Parp4|Adprtl1|C030027K23Rik|E230037B21Rik|Gm743|PARPL|PH5P|VAULT3|VPARP|p193|-|14|14 C3|protein-coding	10	13	10	6	7	12	3	6
Rrm2b|p53R2|-|15|15 B3.1|protein-coding	9	4	4	1	2	1	0	9
Zdbf2|4930431J08Rik|9330107J05Rik|-|1|1 C2|protein-coding	2	0	4	2	1	1	1	2
Zbtb43|1700010E06Rik|Zfp297b|mKIAA0414|-|2|2 B|protein-coding	9	5	8	11	8	4	5	8
Gm5934|EG546272|-|X|X A2|protein-coding	0	0	0	0	0	0	0	0
Rnf44|AI854545|mKIAA1100|-|13|13 B1|protein-coding	31	23	18	19	27	23	11	24
Tll1|Tll|Tll-1|-|8 B3.1|8 32.19 cM|protein-coding	0	0	0	0	1	0	0	1
Olfr1082|GA_x5J8B7W4CQV-18360-18784|MOR192-4_p|Olfr1082-ps1|-|2|2 D|protein-coding	0	0	0	0	0	0	0	0
Syngr1|R75468|Syngr1b|p29|-|15|15 E1|protein-coding	205	137	176	170	177	227	200	207
Zcchc12|2810028A01Rik|AV136720|Sizn1|-|X|X A3.3|protein-coding	1	0	1	0	2	1	1	1
Fbxo41|9630017H13|D6Ertd538e|-|6 C3|6 37.48 cM|protein-coding	3	0	1	1	2	1	2	1
Rnls|6530404N21Rik|AI452315|AW060440|C10orf59|-|19|19 C1|protein-coding	4	1	2	3	2	2	3	4
Phactr4|3110001B12Rik|AI527228|AW495572|C330013F19Rik|N28169|mKIAA4120|-|4|4 D2.3|protein-coding	73	39	51	60	45	95	34	48
Vmn1r5|V1rc19|-|6|6 B3|protein-coding	0	0	0	0	0	0	0	0
Zfp964|4732490P12|EG636741|Gm7187|-|8|8 B3.3|protein-coding	0	0	0	0	0	0	1	0
Vmn1r210|V1rh10|-|13|13 A3.1|protein-coding	0	0	0	0	0	0	0	0
Wipf3|9030621G03|BQ952480|-|6|6 B3|protein-coding	21	9	20	21	16	18	12	20
Pttg1ip|1810010L20Rik|AI314311|AU018448|C79540|-|10|10 C1|protein-coding	217	144	185	186	229	264	169	215
Olfr13|K7|MOR261-6|-|6|6 B2.1|protein-coding	0	0	0	0	0	0	0	0
Syt3|AI385753|sytIII|-|7 B3|7 28.83 cM|protein-coding	10	4	6	4	5	5	9	7
Dock4|5330406C03|6330411N01Rik|AF263288|C030023J22|mKIAA0716|-|12 B1|12 18.06 cM|protein-coding	0	0	0	0	0	0	0	0
Alg3|D16Ertd36e|not|-|16 B1|16 12.48 cM|protein-coding	69	42	63	45	67	64	38	59
Emc8-1190005i06rik|-|-|8 E1|protein-coding	435	284	325	296	403	465	331	295
Rem1|E030011C07Rik|Ras|Rem|-|2|2 H1|protein-coding	4	0	3	0	2	0	1	1
Nell2|A330108N19Rik|R75516|mel91|-|15|15 E3|protein-coding	9	6	14	5	13	16	11	9
Csad|Csd|-|15|15 F2|protein-coding	42	26	36	39	39	52	38	41
3110039I08Rik|2610203C20Rik|AI848448|D230004N17Rik|D3Mgi9|Mir100hg|-|9|9 A5.1|ncRNA	7	14	11	6	11	17	5	8
Trmt12|4632406N01Rik|AI449275|Tyw2|-|15|15 D1|protein-coding	16	17	26	22	10	22	15	11
Mrps36|1110018B13Rik|S36mt|-|13|13 D1|protein-coding	5	3	4	3	3	0	6	3
Ccdc39|4921507O14Rik|AI447426|AI844750|D3Ertd789e|b2b1304Clo|b2b1735Clo|b2b2025.1Clo|-|3|3 A3|protein-coding	5	5	8	3	3	5	6	4
Syce1l|4930481F22Rik|MMRP|PSESS|mmrp2|-|8|8 E1|protein-coding	2	0	0	1	0	1	0	1
Kif14|D1Ertd367e|E130203M01|-|1 E4|1 59.8 cM|protein-coding	2	3	0	1	0	0	0	0
Vmn2r34|ENSMUSG00000070841|-|7|7 A1|protein-coding	0	0	0	0	0	0	0	0
Hnrnpa2b1|9130414A06Rik|Hnrpa2|Hnrpa2b1|hnrnp-A|-|6|6 B3|protein-coding	76	58	42	57	69	72	54	56
Wdr47|1810073M12Rik|AA552998|mKIAA0893|-|3|3 F3|protein-coding	21	13	17	27	19	20	15	21
Slfn4|AI450778|-|11|11 C|protein-coding	0	0	0	0	0	0	0	0
Masp2|MASP-2|MAp19|-|4|4 E2|protein-coding	0	0	0	1	0	0	0	0
Rfesd|AI256775|D030068K09|-|13|13 C1|protein-coding	17	10	17	11	15	17	10	19
Clcn2|AL118368|ClC-2|Clc2|nmf240|-|16 B1|16 12.5 cM|protein-coding	2	1	2	2	2	2	2	1
Rfx1|AI047719|AI385641|-|8 C2|8 40.28 cM|protein-coding	4	3	11	7	7	6	6	5
Cdh18|B230220E17Rik|Cdh14l|-|15|15 A2|protein-coding	0	1	1	0	0	1	0	0
Mon1a|2810468K17Rik|-|9|9 F1|protein-coding	15	10	7	10	10	13	7	7
Gm15417|ENSMUSG00000074466|OTTMUSG00000021274|-|3 F1|3|ncRNA	6	2	16	21	9	11	14	10
Ifit3b|I830012O16Rik|-|19|19 C1|protein-coding	90	21	0	3	43	36	6	9
Mir346|Mirn346|mir-346|mmu-mir-346|-|14|14 B|ncRNA	0	0	0	0	0	0	0	0
H2-M10.4|15H|-|17 B1|17 19.09 cM|protein-coding	0	0	0	0	0	0	0	0
E030024N20Rik|9030417F11Rik|Ppia-ps8|-|19|19 A|pseudo	0	0	0	0	0	1	0	0
Foxa3|Hnf-3g|Hnf3g|Tcf-3g|Tcf3g|-|7 A3|7 9.46 cM|protein-coding	0	0	1	0	0	0	0	0
H2-M5|CRW2|D130003B22Rik|H-2M5|-|17 B1|17 19.16 cM|protein-coding	0	0	0	0	0	0	0	0
Cercam|2600006K01Rik|AL024097|Ceecam1|-|2 B|2 20.76 cM|protein-coding	9	3	6	2	9	13	5	7
2610001J05Rik|C79299|-|6|6 A1|ncRNA	101	110	98	110	91	110	103	94
Kazald1|AI842353|Bono1|IGFBP-rP10|-|19|19 C3|protein-coding	1	1	1	0	1	3	2	0
Hoxaas2|2810043O09Rik|5730446D14Rik|-|6|6 B3|ncRNA	0	0	0	0	0	0	0	0
Olfr538|MOR253-10P|MOR253-12P|MOR253-13P|Olfr1523-ps1|Olfr1553-ps1|-|7|7 F4|protein-coding	0	0	0	0	0	0	0	0
Gdf1|AI385651|Gdf-1|-|8|8 B3.3|protein-coding	13	8	3	6	14	10	5	11
Olfr12|MOR208-5|-|1 D|1 46.53 cM|protein-coding	0	0	0	0	0	0	0	0
Pde5a|Cgbpde|Cn5n|PDE5a2|Pde5|Pde5a1|-|3|3 G1|protein-coding	20	6	15	8	15	22	5	11
Olfr320|GA_x6K02T2NKPP-730312-729392|MOR285-4|MOR285-5|Olfr321-ps1|-|11|11 B1.3|protein-coding	0	0	0	0	0	0	0	0
Kctd20|2410004N11Rik|AI451943|AW541186|D17Ertd562e|-|17 A3.3|17 15.03 cM|protein-coding	16	7	17	10	14	18	12	15
Tomm7|1110020J08Rik|AW047273|Tom7|-|5|5 A3|protein-coding	598	367	426	412	395	474	380	353
5730422E09Rik|-|-|5|5 G3|ncRNA	0	0	2	0	1	0	0	1
Mmp16|MT-MMP 3|MT3-MMP|Mt3mmp|-|4 A3|4 7.08 cM|protein-coding	0	0	0	0	0	0	0	0
Mir6951|Gm27765|mmu-mir-6951|-|15|15 B3.1|ncRNA	0	0	0	0	0	0	0	0
Snord110|MBII-55|-|2 F1|2|snoRNA	0	0	0	0	0	0	0	0
Kiz|Gm114|Ncrna00153|Plk1s1|-|2|2 G1-G2|protein-coding	5	10	10	10	14	17	3	9
Anapc15|3200002M19Rik|6330414C15Rik|APC15|-|7|7 E2|protein-coding	32	14	24	28	40	31	28	25
Hcls1|AW213261|HS1|-|16|16 B3|protein-coding	6	4	2	5	5	6	1	5
Gm5334|EG384639|-|7 C|7|pseudo	0	0	0	0	0	0	0	0
Speer3|4933405P08Rik|SPEER-3|-|5|5 A1|protein-coding	0	0	0	0	0	0	0	0
Yy1|AW488674|NF-E1|-|12 F1|12 59.58 cM|protein-coding	10	10	6	11	9	14	9	2
Rnf113a1|2810428C21Rik|Rnf113a|-|X|X A3.3|protein-coding	2	6	12	6	8	8	5	7
Acat3|ACTL|-|17 A1|17 8.72 cM|protein-coding	3	4	2	6	2	4	0	2
Nphp4|4930564O18Rik|nmf192|-|4|4 E2|protein-coding	10	4	11	9	5	10	3	6
Eva1a|BC014699|Fam176a|Tmem166|-|6|6 C3|protein-coding	14	6	14	5	14	14	9	12
Srp9|9kDa|-|1|1 H5|protein-coding	234	204	213	209	214	231	178	182
Orc6|6720420I10Rik|Orc6l|-|8|8 C3|protein-coding	11	20	22	30	22	27	18	24
Rrs1|5730466A07Rik|AA415037|D1Ertd701e|Rrr|-|1 A2|1 2.08 cM|protein-coding	41	26	29	39	28	34	22	25
Zscan10|BC068284|Zfp206|Zkscan10|Znf206|-|17|17 A3.3|protein-coding	1	3	1	3	4	4	2	0
Antxr1|2310008J16Rik|2810405N18Rik|Antrx1|Tem8|-|6|6 D1|protein-coding	38	24	19	15	30	27	28	22
Pcdh9|-|-|14 E2.1|14 45.8 cM|protein-coding	0	0	0	0	0	0	0	0
Ncf1|NCF-47K|NOXO2|Ncf-1|p47-phox|p47<phox>|p47phox|-|5 G2|5 74.47 cM|protein-coding	7	3	1	3	2	5	4	5
4933400A11Rik|-|-|X|X F5|pseudo	0	0	0	0	0	0	0	0
V1ra8|Vmn1r-ps33|-|6|6 D1|protein-coding	0	0	0	0	0	0	0	0
Tmem41a|2900010K02Rik|5730578N08Rik|-|16|16 B1|protein-coding	34	26	30	40	33	24	35	28
Fam103a1|2410047I02Rik|2610204K14Rik|RAM|-|7|7 D3|protein-coding	42	32	41	40	32	48	25	38
Sun2|B230369L08Rik|C030011B15|Unc84b|-|15|15 E1|protein-coding	4	5	5	7	2	3	2	3
Btn2a2|Btn2|D030063K05|-|13|13 A3.1|protein-coding	0	0	0	0	0	0	0	0
Cdkal1|1190005B03Rik|6620401C13Rik|-|13|13 A3.1-A3.2|protein-coding	5	5	3	3	5	3	3	4
Amt|EG434437|-|9|9 F1|protein-coding	0	0	0	0	0	0	0	0
Hist1h2br|Gm11277|OTTMUSG00000000449|-|13|13 A3.1|protein-coding	0	0	0	1	1	2	1	2
1700042G07Rik|-|-|4|4 D1|protein-coding	0	0	0	0	0	0	0	0
Atp13a5|C630015F21Rik|-|16|16 B2|protein-coding	0	0	0	1	0	0	0	0
Golga3|5330413L04|5430416E01Rik|AI449376|AW490576|G1-499-14|Mea-2|Mea2|repro27|-|5 F|5 53.36 cM|protein-coding	25	17	15	30	21	18	20	18
Car13|2310075C21Rik|Ca13|-|3|3 A1|protein-coding	26	16	16	14	22	32	18	14
Olfr1052|MOR172-1|-|2|2 D|protein-coding	0	0	0	0	0	0	0	0
